author,quote,no_stopwords,lemmatized,stemmed
Oscar Wilde,What people call insincerity is simply a method by which we can multiply our personalities.,people call insincerity simply method multiply personalities,people call insincerity simply method multiply personality,peopl call insincer simpli method multipli person
Oscar Wilde,"Women love us for our defects. If we have enough of them, they will forgive us everything, even our gigantic intellects.",Women love us defects enough forgive us everything even gigantic intellects,Women love u defect enough forgive u everything even gigantic intellect,women love u defect enough forgiv u everyth even gigant intellect
Oscar Wilde,The only way to get rid of a temptation is to yield to it.,way get rid temptation yield,way get rid temptation yield,way get rid temptat yield
Oscar Wilde,A chemist on each side will approach the frontier with a bottle,chemist side approach frontier bottle,chemist side approach frontier bottle,chemist side approach frontier bottl
Oscar Wilde,Of course I have played outdoor games. I once played dominoes in an open air cafe in Paris.,course played outdoor games played dominoes open air cafe Paris,course play outdoor game play domino open air cafe Paris,cours play outdoor game play domino open air cafe pari
Oscar Wilde,Everything popular is wrong.,Everything popular wrong,Everything popular wrong,everyth popular wrong
Oscar Wilde,"It is perfectly monstrous the way people go about nowadays saying things against one, behind one's back, that are absolutely and entirely true.",perfectly monstrous way people go nowadays saying things one behind one back absolutely entirely true,perfectly monstrous way people go nowadays say thing one behind one back absolutely entirely true,perfect monstrous way peopl go nowaday say thing one behind one back absolut entir true
Oscar Wilde,I put all my genius into my life; I put only my talent into my works.,put genius life put talent works,put genius life put talent work,put genius life put talent work
Oscar Wilde,"When the gods wish to punish us, they answer our prayers.",gods wish punish us answer prayers,god wish punish u answer prayer,god wish punish u answer prayer
Oscar Wilde,I love talking about nothing. It is the only thing I know anything about.,love talking nothing thing know anything,love talk nothing thing know anything,love talk noth thing know anyth
Oscar Wilde,An acquaintance that begins with a compliment is sure to develop into a real friendship.,acquaintance begins compliment sure develop real friendship,acquaintance begin compliment sure develop real friendship,acquaint begin compliment sure develop real friendship
Oscar Wilde,"Selfishness is not living as one wishes to live, it is asking others to live as one wishes to live.",Selfishness living one wishes live asking others live one wishes live,Selfishness live one wish live ask others live one wish live,selfish live one wish live ask other live one wish live
Oscar Wilde,"I can stand brute force, but brute reason is quite unbearable. There is something unfair about its use. It is hitting below the intellect.",stand brute force brute reason quite unbearable something unfair use hitting intellect,stand brute force brute reason quite unbearable something unfair use hit intellect,stand brute forc brute reason quit unbear someth unfair use hit intellect
Oscar Wilde,"In examinations, the foolish ask questions the wise cannot answer.",examinations foolish ask questions wise answer,examination foolish ask question wise answer,examin foolish ask question wise answer
Oscar Wilde,Only dull people are brilliant at breakfast.,dull people brilliant breakfast,dull people brilliant breakfast,dull peopl brilliant breakfast
Oscar Wilde,One should not be too severe on English novels; they are the only relaxation of the intellectually unemployed.,One severe English novels relaxation intellectually unemployed,One severe English novel relaxation intellectually unemployed,one sever english novel relax intellectu unemploy
